Key,Channel,CC No,Shift,Ctrl,Alt,Method,Value
N,1,11,FALSE,FALSE,FALSE,dec,1
M,1,11,FALSE,FALSE,FALSE,inc,1
B,1,11,FALSE,FALSE,FALSE,set,63
N,1,11,TRUE,FALSE,FALSE,set,0
M,1,11,TRUE,FALSE,FALSE,set,127
K,1,12,FALSE,FALSE,FALSE,dec,1
L,1,12,FALSE,FALSE,FALSE,inc,1
J,1,12,FALSE,FALSE,FALSE,set,13
J,1,12,TRUE,FALSE,FALSE,set,0
O,1,13,FALSE,FALSE,FALSE,dec,1
P,1,13,FALSE,FALSE,FALSE,inc,1
I,1,13,FALSE,FALSE,FALSE,set,0
I,1,13,TRUE,FALSE,FALSE,set,127
C,1,14,FALSE,FALSE,FALSE,dec,1
V,1,14,FALSE,FALSE,FALSE,inc,1
X,1,14,FALSE,FALSE,FALSE,set,0
X,1,14,TRUE,FALSE,FALSE,set,127
